Origen,Destino,Distancia[km],Año,Mes,Diferencia de ciclistas,Calle 1 origen,Calle 2 origen,Calle 1 origen id,Calle 2 origen id,Calle 1 destino,Calle 2 destino,Calle 1 destino id,Calle 2 destino id
Rincon y Carlos Calvo,Montevideo y Peron,2.151,2010,Junio,784,Rincon,Carlos Calvo,3,26,Montevideo,Peron,10,28
Rincon y Carlos Calvo,Cnel. Diaz y Mansilla,4.609,2010,Junio,860,Rincon,Carlos Calvo,3,26,Cnel. Diaz,Mansilla,11,32
Rincon y Carlos Calvo,Arenales y Montevideo,4.005,2010,Junio,672,Rincon,Carlos Calvo,3,26,Arenales,Montevideo,12,10
Virrey Liniers y C.Calvo,Billinghurst y Peron,1.849,2010,Junio,-434,Virrey Liniers,C.Calvo,4,27,Billinghurst,Peron,5,28
Virrey Liniers y C.Calvo,Del Libertador y Montevideo,7.374,2010,Junio,-233,Virrey Liniers,C.Calvo,4,27,Del Libertador,Montevideo,6,10
Virrey Liniers y C.Calvo,Corredor Norte y Casares,6.092,2010,Junio,-178,Virrey Liniers,C.Calvo,4,27,Corredor Norte,Casares,7,29
Virrey Liniers y C.Calvo,EEUU y 33 Orientales,1.028,2010,Junio,273,Virrey Liniers,C.Calvo,4,27,EEUU,33 Orientales,8,30
Virrey Liniers y C.Calvo,F. Alcorta y Derecho,6.385,2010,Junio,-413,Virrey Liniers,C.Calvo,4,27,F. Alcorta,Derecho,9,31
Virrey Liniers y C.Calvo,Montevideo y Peron,3.778,2010,Junio,206,Virrey Liniers,C.Calvo,4,27,Montevideo,Peron,10,28
Virrey Liniers y C.Calvo,Cnel. Diaz y Mansilla,3.554,2010,Junio,282,Virrey Liniers,C.Calvo,4,27,Cnel. Diaz,Mansilla,11,32
Virrey Liniers y C.Calvo,Arenales y Montevideo,5.359,2010,Junio,94,Virrey Liniers,C.Calvo,4,27,Arenales,Montevideo,12,10
Billinghurst y Peron,Del Libertador y Montevideo,5.525,2010,Junio,201,Billinghurst,Peron,5,28,Del Libertador,Montevideo,6,10
Billinghurst y Peron,Corredor Norte y Casares,4.243,2010,Junio,256,Billinghurst,Peron,5,28,Corredor Norte,Casares,7,29
Billinghurst y Peron,EEUU y 33 Orientales,2.812,2010,Junio,707,Billinghurst,Peron,5,28,EEUU,33 Orientales,8,30
Billinghurst y Peron,F. Alcorta y Derecho,4.536,2010,Junio,21,Billinghurst,Peron,5,28,F. Alcorta,Derecho,9,31
Billinghurst y Peron,Montevideo y Peron,3.02,2010,Junio,640,Billinghurst,Peron,5,28,Montevideo,Peron,10,28
Billinghurst y Peron,Cnel. Diaz y Mansilla,1.705,2010,Junio,716,Billinghurst,Peron,5,28,Cnel. Diaz,Mansilla,11,32
Billinghurst y Peron,Arenales y Montevideo,3.958,2010,Junio,528,Billinghurst,Peron,5,28,Arenales,Montevideo,12,10
Del Libertador y Montevideo,Corredor Norte y Casares,2.676,2010,Junio,55,Del Libertador,Montevideo,6,10,Corredor Norte,Casares,7,29
Del Libertador y Montevideo,EEUU y 33 Orientales,7.473,2010,Junio,506,Del Libertador,Montevideo,6,10,EEUU,33 Orientales,8,30
Del Libertador y Montevideo,F. Alcorta y Derecho,0.938,2010,Junio,-180,Del Libertador,Montevideo,6,10,F. Alcorta,Derecho,9,31
Del Libertador y Montevideo,Montevideo y Peron,2.599,2010,Junio,439,Del Libertador,Montevideo,6,10,Montevideo,Peron,10,28
Del Libertador y Montevideo,Cnel. Diaz y Mansilla,4.073,2010,Junio,515,Del Libertador,Montevideo,6,10,Cnel. Diaz,Mansilla,11,32
Del Libertador y Montevideo,Arenales y Montevideo,1.305,2010,Junio,327,Del Libertador,Montevideo,6,10,Arenales,Montevideo,12,10
Corredor Norte y Casares,EEUU y 33 Orientales,6.495,2010,Junio,451,Corredor Norte,Casares,7,29,EEUU,33 Orientales,8,30
